FB,specificity,recall
0.125,0.5064891784383124,0.5257292506043513
0.25,0.5027205813261503,0.510249798549557
0.5,0.479872208475585,0.5495245769540691
1,0.49278541673191967,0.510153102336825
2,0.519006483540577,0.4959871071716357
4,0.49557052024931864,0.5089685737308622
8,0.5024624925611552,0.4888154713940371
