alpha,specificity,recall
0.125,0.5294320894584745,0.46401582591493573
0.25,0.48866063575826113,0.4906824925816024
0.375,0.536135192863425,0.4692383778437191
0.5,0.46746136449302667,0.5267457962413452
0.625,0.5258072622188716,0.5161819980217606
0.75,0.4770542781756502,0.5191097922848664
0.875,0.5120649579092851,0.485459940652819
