BA,specificity,recall
0.125,0.4758781541544049,0.5135380885027278
0.25,0.514053597144825,0.4379470600121237
0.375,0.47290401352451317,0.5345524348353202
0.5,0.5057009579863502,0.5096989290765811
0.625,0.5240905391021226,0.44427157001414425
0.75,0.5355456765387265,0.4497070115174783
0.875,0.475411683676664,0.5653465346534654
1.0,0.49878216767891814,0.5034350373812891
